_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615ab3,25174,1062,830,9,33,3,9,9,9,2,70,+1:20.244,7563443,43,4,1:20.945,194.843,1,2021
6525f3fe35c39ef20d615ab4,25175,1062,8,51,7,13,10,10,10,1,69,\N,\N,58,8,1:21.518,193.473,11,2021
6525f3fe35c39ef20d615ab5,25176,1062,817,1,3,11,11,11,11,0,69,\N,\N,58,13,1:22.802,190.473,11,2021
6525f3fe35c39ef20d615ab6,25177,1062,854,210,47,20,12,12,12,0,69,\N,\N,44,11,1:22.711,190.683,11,2021
6525f3fe35c39ef20d615ab7,25178,1062,841,51,99,0,13,13,13,0,69,\N,\N,44,12,1:22.736,190.625,11,2021
6525f3fe35c39ef20d615ab8,25179,1062,853,210,9,19,\N,R,14,0,3,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615ab9,25180,1062,846,1,4,6,\N,R,15,0,2,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615aba,25181,1062,822,131,77,2,\N,R,16,0,0,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615abb,25182,1062,815,9,11,4,\N,R,17,0,0,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615abc,25183,1062,844,6,16,7,\N,R,18,0,0,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615abd,25184,1062,840,117,18,12,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4,2021
6525f3fe35c39ef20d615abe,25185,1062,20,117,5,10,\N,D,20,0,70,\N,\N,60,7,1:21.459,193.613,2,2021
6525f3fe35c39ef20d615abf,25186,1063,830,9,33,1,1,1,1,12.5,1,3:27.071,207071,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac0,25187,1063,847,3,63,2,2,2,2,9,1,+1.995,209066,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac1,25188,1063,1,131,44,3,3,3,3,7.5,1,+2.601,209672,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac2,25189,1063,817,1,3,4,4,4,4,6,1,+4.496,211567,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac3,25190,1063,20,117,5,5,5,5,5,5,1,+7.479,214550,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac4,25191,1063,842,213,10,6,6,6,6,4,1,+10.177,217248,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac5,25192,1063,839,214,31,8,7,7,7,3,1,+11.579,218650,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac6,25193,1063,844,6,16,9,8,8,8,2,1,+12.608,219679,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac7,25194,1063,849,3,6,10,9,9,9,1,1,+15.485,222556,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac8,25195,1063,832,6,55,11,10,10,10,0.5,1,+16.166,223237,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ac9,25196,1063,4,214,14,12,11,11,11,0,1,+20.590,227661,\N,0,\N,\N,1,2021
